county,candidate,votes
Santa Clara,Jill Stein,12664
Santa Clara,Gary Johnson,25325
Santa Cruz,Hillary Clinton,95249
Santa Cruz,Donald J. Trump,22438
Santa Cruz,Jill Stein,4485
Santa Cruz,Gary Johnson,4325
Shasta,Hillary Clinton,22301
Shasta,Donald J. Trump,51778
Shasta,Jill Stein,1300
Shasta,Gary Johnson,3382
Sierra,Hillary Clinton,601
Sierra,Donald J. Trump,1048
Sierra,Jill Stein,42
Sierra,Gary Johnson,98
Siskiyou,Hillary Clinton,7234
Siskiyou,Donald J. Trump,11341
Siskiyou,Jill Stein,575
Siskiyou,Gary Johnson,875
Solano,Hillary Clinton,102360
Solano,Donald J. Trump,51920
Solano,Jill Stein,2771
Solano,Gary Johnson,6254
Sonoma,Hillary Clinton,160435
Sonoma,Donald J. Trump,51408
Sonoma,Jill Stein,7347
Sonoma,Gary Johnson,8987
Stanislaus,Hillary Clinton,81647
Stanislaus,Donald J. Trump,78494
Stanislaus,Jill Stein,2562
Stanislaus,Gary Johnson,6662
Sutter,Hillary Clinton,13076
Sutter,Donald J. Trump,18176
Sutter,Jill Stein,382
Sutter,Gary Johnson,1437
Tehama,Hillary Clinton,6809
Tehama,Donald J. Trump,15494
Tehama,Jill Stein,290
Tehama,Gary Johnson,953
Trinity,Hillary Clinton,2214
Trinity,Donald J. Trump,2812
Trinity,Jill Stein,239
Trinity,Gary Johnson,302
Tulare,Hillary Clinton,47585
Tulare,Donald J. Trump,58299
Tulare,Jill Stein,1620
Tulare,Gary Johnson,3800
Tuolumne,Hillary Clinton,9123
Tuolumne,Donald J. Trump,14551
Tuolumne,Jill Stein,384
Tuolumne,Gary Johnson,1101
Ventura,Hillary Clinton,194402
Ventura,Donald J. Trump,132323
Ventura,Jill Stein,6315
Ventura,Gary Johnson,13679
Yolo,Hillary Clinton,54752
Yolo,Donald J. Trump,20739
Yolo,Jill Stein,1779
Yolo,Gary Johnson,3346
Yuba,Hillary Clinton,7910
Yuba,Donald J. Trump,13170
Yuba,Jill Stein,438
Yuba,Gary Johnson,1063
